Name,Alt_Name,Acronym,Country_Area,Latitude,Longitude
Chochkitam ,Tzotzkitam = Chochquitan = Chosquitan = BA-25,CKM,"Guatemala, PetÈn (GT-PE)",17.62419,-89.19963
Chunhuitz,,CNZ,"Guatemala, PetÈn (GT-PE)",17.16921,-89.21635
CivalSibal,,CVL,"Guatemala, PetÈn (GT-PE)",17.3675,-89.259167
CobaNohoch Mul,,COB,"Mexiko, Quintana Roo (MX-ROO)",20.49004,-87.732332
Comalcalco,,CML,"Mexiko, Tabasco (MX-TAB)",18.28001,-93.201341
Copan,,CPN,"Honduras, Cop·n (HN-CP)",14.837622,-89.141233
Cueva de Galon,Cueva de las Pinturas = Cobanerita,CVG,"Guatemala, PetÈn (GT-PE)",16.89534,-90.00454
Cueva de la Virgencita,,," Mexiko, Campeche (MX-CAM)",18.253351,-89.277256
Cuychen,,CUY," Belize, Cayo (BZ-CY)",17.01805,-89.059982†
Dos Caobas,,DCB,"Mexiko, Chiapas (MX-CHP)",16.798796,-90.981059
Dos Pilas,Dos Pozos,DPL,"Guatemala, PetÈn (GT-PE)",16.44583,-90.29583
Dzehkabtun,,DZK," Mexiko, Campeche (MX-CAM)",19.693113,-89.910491
Dzibanmac,,," Mexiko, Campeche (MX-CAM)",18.28'27.3,-89.23368
Dzibilchaltun,,DBC,"Mexiko, Yucat·n (MX-YUC)",21.091357,-89.596431
Dzibilnocac,,DBN," Mexiko, Campeche (MX-CAM)",19.578209,-89.594867
Dzilam,Dzilam Gonzalez,DZL,"Mexiko, Yucat·n (MX-YUC)",21.28144,-88.92994
Eduardo Quiroz Cave,,," Belize, Cayo (BZ-CY)",16.75,-88.883333
Edzna,Etzna,ETZ," Mexiko, Campeche (MX-CAM)",19.597036,-90.230109
Ek Balam,Ek' Balam = Ek' B'ahlam = Ekbalam,EKB,"Mexiko, Yucat·n (MX-YUC)",20.890692,-88.136312
"Abra, El",,ABR,"Honduras, Cop·n (HN-CP)",15.103761,-88.80487
"Achiotal, El",,,"Guatemala, PetÈn (GT-PE)",,
"Amparo, El",,AMP,"Mexiko, Chiapas (MX-CHP)",16.5344,-91.82478
"Camalote Dolores, El",El Camalote = El Camalote/Dolores,CAD,"Guatemala, PetÈn (GT-PE)",16.77167,-89.46
"Cayo, El",,CAY,"Mexiko, Chiapas (MX-CHP)",17.06436,-91.21247
